iter	Passed	Remaining
178	785	3601
179	789	3596
180	793	3589
181	796	3581
182	800	3573
183	803	3565
184	810	3569
185	815	3569
186	820	3565
187	824	3559
188	828	3555
189	832	3547
190	836	3542
191	841	3542
192	847	3543
193	852	3540
194	855	3533
195	862	3536
196	866	3530
197	873	3537
198	877	3531
199	881	3525
200	886	3522
201	891	3520
202	896	3520
203	900	3514
204	905	3512
205	909	3506
206	914	3502
207	917	3492
208	922	3492
209	927	3489
210	931	3484
211	936	3479
212	939	3472
213	945	3472
214	949	3466
215	952	3458
216	958	3457
217	962	3451
218	966	3445
219	971	3443
220	975	3438
221	979	3433
222	983	3426
223	987	3421
224	991	3416
225	999	3423
226	1004	3419
227	1007	3411
228	1013	3410
229	1017	3405
230	1021	3400
231	1025	3395
232	1030	3391
233	1035	3389
234	1039	3384
235	1045	3385
236	1049	3379
237	1055	3379
238	1059	3374
239	1063	3367
240	1066	3358
241	1071	3355
242	1077	3356
243	1081	3351
244	1086	3347
245	1091	3344
246	1096	3342
247	1100	3336
248	1104	3330
249	1108	3324
250	1112	3318
251	1116	3314
252	1122	3313
253	1127	3310
254	1131	3306
255	1136	3302
256	1139	3293
257	1143	3288
258	1148	3285
259	1152	3279
260	1155	3272
261	1160	3268
262	1164	3262
263	1168	3256
264	1171	3250
265	1175	3244
266	1178	3236
267	1185	3239
268	1189	3231
269	1194	3228
270	1197	3221
271	1203	3220
272	1208	3218
273	1214	3217
274	1217	3209
275	1222	3206
276	1227	3203
277	1233	3202
278	1237	3198
279	1242	3194
280	1247	3191
281	1253	3190
282	1257	3185
283	1261	3181
284	1265	3173
285	1269	3168
286	1274	3165
287	1279	3163
288	1284	3159
289	1288	3154
290	1291	3147
291	1295	3142
292	1299	3136
293	1304	3132
294	1308	3128
295	1313	3124
296	1318	3121
297	1324	3119
298	1328	3114
299	1332	3108
300	1335	3102
301	1339	3095
302	1344	3093
303	1348	3088
304	1354	3085
305	1358	3080
306	1362	3074
307	1366	3070
308	1371	3067
309	1375	3061
310	1379	3056
311	1385	3054
312	1389	3048
313	1393	3044
314	1399	3044
315	1404	3041
316	1409	3036
317	1413	3031
318	1416	3023
319	1421	3020
320	1426	3017
321	1430	3012
322	1434	3007
323	1438	3001
324	1443	2997
325	1449	2996
326	1455	2995
327	1459	2990
328	1463	2984
329	1468	2981
330	1472	2976
331	1477	2972
332	1482	2968
333	1485	2963
334	1489	2957
335	1496	2956
336	1499	2950
337	1503	2945
338	1508	2941
339	1511	2934
340	1517	2932
341	1521	2927
342	1526	2923
343	1529	2915
344	1531	2908
345	1535	2902
346	1538	2895
347	1542	2890
348	1545	2883
349	1550	2879
350	1552	2871
351	1555	2864
352	1559	2858
353	1563	2853
354	1566	2846
355	1569	2838
356	1571	2829
357	1573	2820
358	1575	2812
359	1577	2804
360	1580	2797
361	1582	2788
362	1584	2780
363	1586	2771
364	1588	2763
365	1591	2756
366	1593	2748
367	1595	2739
368	1597	2731
369	1599	2723
370	1602	2716
371	1604	2708
372	1605	2699
373	1607	2690
374	1609	2682
375	1611	2673
376	1613	2665
377	1615	2658
378	1617	2649
379	1619	2641
380	1620	2633
381	1623	2626
382	1625	2618
383	1627	2610
384	1629	2603
385	1631	2594
386	1633	2587
387	1635	2579
388	1637	2571
389	1639	2563
390	1641	2556
391	1643	2548
392	1645	2540
393	1646	2533
394	1648	2525
395	1650	2517
396	1652	2510
397	1655	2503
398	1657	2495
399	1658	2488
400	1660	2480
401	1662	2473
402	1665	2466
403	1666	2459
404	1668	2451
405	1670	2444
406	1672	2437
407	1674	2430
408	1676	2423
409	1678	2415
410	1680	2408
411	1682	2401
412	1684	2394
413	1686	2387
414	1688	2379
415	1690	2372
416	1692	2365
417	1694	2359
418	1695	2351
419	1697	2344
420	1700	2338
421	1701	2330
422	1703	2323
423	1705	2317
424	1707	2310
425	1709	2304
426	1711	2297
427	1714	2290
428	1716	2284
429	1717	2277
430	1719	2270
431	1721	2264
432	1723	2257
433	1725	2250
434	1727	2243
435	1729	2237
436	1731	2230
437	1733	2224
438	1735	2217
439	1736	2210
440	1739	2204
441	1740	2197
442	1743	2191
443	1745	2185
444	1747	2178
445	1749	2172
446	1751	2166
447	1753	2160
448	1755	2153
449	1756	2147
450	1758	2140
451	1760	2134
452	1762	2128
453	1764	2122
454	1766	2115
455	1768	2109
456	1770	2103
457	1771	2096
458	1773	2090
459	1775	2084
460	1777	2078
461	1779	2071
462	1781	2065
463	1783	2059
464	1784	2053
465	1786	2047
466	1788	2041
467	1790	2035
468	1792	2029
469	1794	2023
470	1796	2017
471	1798	2011
472	1800	2005
473	1801	1999
474	1804	1994
475	1806	1988
476	1809	1983
477	1811	1977
478	1813	1972
479	1815	1966
480	1817	1960
481	1819	1955
482	1821	1949
483	1823	1944
484	1825	1938
485	1827	1933
486	1829	1927
487	1831	1921
488	1832	1915
489	1834	1909
490	1836	1904
491	1838	1898
492	1840	1893
493	1842	1887
494	1844	1882
495	1846	1876
496	1848	1871
497	1850	1865
498	1852	1859
499	1854	1854
500	1856	1849
501	1858	1843
502	1860	1838
503	1862	1832
504	1864	1827
505	1866	1822
506	1868	1816
507	1870	1811
508	1871	1805
509	1874	1800
510	1875	1795
511	1878	1790
512	1880	1784
513	1881	1779
514	1883	1773
515	1885	1768
516	1887	1763
517	1889	1758
518	1891	1753
519	1893	1747
520	1896	1743
521	1897	1737
522	1900	1732
523	1902	1727
524	1904	1723
525	1906	1717
526	1908	1712
527	1910	1707
528	1912	1702
529	1913	1697
530	1915	1692
531	1917	1687
532	1920	1682
533	1921	1676
534	1923	1671
535	1925	1666
536	1927	1661
537	1929	1656
538	1931	1651
539	1933	1646
540	1935	1641
541	1937	1637
542	1938	1631
543	1940	1626
544	1942	1621
545	1944	1616
546	1946	1612
547	1948	1607
548	1951	1602
549	1953	1598
550	1955	1593
551	1957	1588
552	1959	1583
553	1961	1578
554	1963	1573
555	1965	1569
556	1967	1564
557	1969	1560
558	1971	1555
559	1973	1550
560	1975	1545
561	1977	1541
562	1979	1536
563	1981	1531
564	1983	1527
565	1985	1522
566	1987	1517
567	1989	1512
568	1990	1508
569	1993	1503
570	1994	1498
571	1996	1493
572	1998	1489
573	2000	1484
574	2002	1480
575	2004	1475
576	2006	1470
577	2008	1466
578	2010	1461
579	2012	1457
580	2014	1452
581	2015	1447
582	2018	1443
583	2020	1439
584	2022	1434
585	2024	1430
586	2026	1425
587	2028	1421
588	2030	1416
589	2031	1412
590	2033	1407
591	2035	1403
592	2037	1398
593	2039	1394
594	2041	1389
595	2043	1385
596	2045	1380
597	2047	1376
598	2049	1372
599	2051	1367
600	2053	1363
601	2055	1358
602	2057	1354
603	2059	1350
604	2061	1345
605	2063	1341
606	2064	1336
607	2066	1332
608	2068	1328
609	2070	1323
610	2072	1319
611	2074	1315
612	2076	1310
613	2078	1306
614	2080	1302
615	2082	1298
616	2085	1294
617	2087	1290
618	2088	1285
619	2090	1281
620	2092	1277
621	2094	1272
622	2096	1268
623	2098	1264
624	2100	1260
625	2101	1255
626	2103	1251
627	2105	1247
628	2107	1242
629	2109	1239
630	2111	1234
631	2113	1230
632	2114	1226
633	2117	1222
634	2119	1218
635	2120	1213
636	2122	1209
637	2124	1205
638	2126	1201
639	2128	1197
640	2130	1193
641	2132	1189
642	2134	1185
643	2136	1180
644	2138	1176
645	2140	1172
646	2142	1168
647	2144	1164
648	2146	1160
649	2148	1156
650	2149	1152
651	2151	1148
652	2153	1144
653	2155	1140
654	2157	1136
655	2159	1132
656	2161	1128
657	2163	1124
658	2166	1120
659	2167	1116
660	2169	1112
661	2171	1108
662	2173	1104
663	2175	1100
664	2177	1096
665	2179	1092
666	2181	1088
667	2182	1084
668	2184	1081
669	2186	1077
670	2188	1073
671	2190	1069
672	2192	1065
673	2194	1061
674	2196	1057
675	2198	1053
676	2200	1050
677	2202	1046
678	2204	1042
679	2206	1038
680	2208	1034
681	2210	1030
682	2211	1026
683	2213	1022
684	2215	1018
685	2217	1015
686	2220	1011
687	2222	1007
688	2224	1004
689	2226	1000
690	2228	996
691	2230	992
692	2232	989
693	2235	985
694	2236	981
695	2238	977
696	2241	974
697	2243	970
698	2245	966
699	2247	963
700	2249	959
701	2250	955
702	2252	951
703	2254	948
704	2256	944
705	2258	940
706	2261	937
707	2262	933
708	2264	929
709	2266	925
710	2268	922
711	2270	918
712	2272	914
713	2274	911
714	2276	907
715	2278	903
716	2280	900
717	2282	896
718	2284	892
719	2286	889
720	2288	885
721	2290	882
722	2292	878
723	2294	874
724	2296	870
725	2298	867
726	2300	863
727	2301	860
728	2304	856
729	2307	853
730	2308	849
731	2310	846
732	2313	842
733	2315	839
734	2318	835
735	2320	832
736	2322	828
737	2324	825
738	2326	821
739	2328	818
740	2330	814
741	2332	811
742	2334	807
743	2335	803
744	2338	800
745	2340	796
746	2342	793
747	2343	789
748	2345	786
749	2347	782
750	2349	779
751	2351	775
752	2353	772
753	2355	768
754	2357	765
755	2359	761
756	2361	757
757	2363	754
758	2365	750
759	2367	747
760	2369	744
761	2371	740
762	2373	737
763	2374	733
764	2376	730
765	2378	726
766	2380	723
767	2382	719
768	2383	716
769	2385	712
770	2388	709
771	2389	705
772	2391	702
773	2393	698
774	2395	695
775	2397	692
776	2399	688
777	2401	685
778	2403	681
779	2405	678
780	2407	675
781	2409	671
782	2411	668
783	2413	664
784	2415	661
785	2416	658
786	2418	654
787	2421	651
788	2422	647
789	2424	644
790	2426	641
791	2428	637
792	2430	634
793	2432	631
794	2434	627
795	2436	624
796	2438	620
797	2440	617
798	2442	614
799	2444	611
800	2446	607
801	2448	604
802	2450	601
803	2452	597
804	2454	594
805	2455	591
806	2457	587
807	2460	584
808	2461	581
809	2463	577
810	2465	574
811	2467	571
812	2469	567
813	2471	564
814	2473	561
815	2475	558
816	2476	554
817	2479	551
818	2481	548
819	2483	545
820	2485	541
821	2487	538
822	2489	535
823	2490	532
824	2492	528
825	2495	525
826	2497	522
827	2499	519
828	2501	515
829	2503	512
830	2505	509
831	2506	506
832	2508	502
833	2510	499
834	2512	496
835	2514	493
836	2516	490
837	2518	486
838	2520	483
839	2522	480
840	2524	477
841	2526	474
842	2528	470
843	2530	467
844	2532	464
845	2534	461
846	2536	458
847	2537	454
848	2539	451
849	2541	448
850	2543	445
851	2545	442
852	2547	438
853	2548	435
854	2551	432
855	2553	429
856	2555	426
857	2556	423
858	2559	420
859	2561	416
860	2563	413
861	2564	410
862	2566	407
863	2568	404
864	2570	401
865	2572	398
866	2574	394
867	2576	391
868	2578	388
869	2580	385
870	2582	382
871	2584	379
872	2585	376
873	2588	373
874	2590	370
875	2591	366
876	2593	363
877	2596	360
878	2597	357
879	2599	354
880	2601	351
881	2603	348
882	2605	345
883	2607	342
884	2609	339
885	2611	335
886	2613	332
887	2615	329
888	2617	326
889	2619	323
890	2620	320
891	2622	317
892	2624	314
893	2626	311
894	2628	308
895	2630	305
896	2632	302
897	2634	299
898	2636	296
899	2638	293
900	2640	290
901	2642	287
902	2644	284
903	2646	281
904	2648	277
905	2649	274
906	2651	271
907	2653	268
908	2655	265
909	2657	262
910	2659	259
911	2661	256
912	2663	253
913	2665	250
914	2667	247
915	2669	244
916	2671	241
917	2673	238
918	2675	235
919	2677	232
920	2678	229
921	2680	226
922	2682	223
923	2684	220
924	2686	217
925	2688	214
926	2690	211
927	2692	208
928	2694	205
929	2696	202
930	2698	199
931	2700	197
932	2702	194
933	2704	191
934	2706	188
935	2708	185
936	2710	182
937	2712	179
938	2714	176
939	2715	173
940	2717	170
941	2719	167
942	2721	164
943	2723	161
944	2725	158
945	2727	155
946	2729	152
947	2731	149
948	2733	146
949	2735	143
950	2737	141
951	2739	138
952	2741	135
953	2742	132
954	2744	129
955	2746	126
956	2748	123
957	2750	120
958	2752	117
959	2754	114
960	2756	111
961	2758	108
962	2760	106
963	2762	103
964	2764	100
965	2766	97
966	2768	94
967	2769	91
968	2771	88
969	2773	85
970	2776	82
971	2777	80
972	2779	77
973	2781	74
974	2783	71
975	2785	68
976	2787	65
977	2788	62
978	2790	59
979	2792	56
980	2794	54
981	2796	51
982	2798	48
983	2800	45
984	2802	42
985	2804	39
986	2806	36
987	2808	34
988	2810	31
989	2812	28
990	2814	25
991	2815	22
992	2817	19
993	2819	17
994	2820	14
995	2822	11
996	2823	8
997	2825	5
998	2827	2
999	2828	0
	7477	2079973	7481	1999974	7485	1919975	7490	1849976	7496	176
977	7499	168
978	7502	1609979	7506	1539980	7511	1459981	7514	1379982	7522	130
983	7527	122
984	7531	114
985	7535	1069986	7539	99
987	7543	91
988	7547	83
989	7550	76
990	7555	68
991	7560	60
992	7563	53
993	7567	45
994	7570	38
995	7573	30
996	7577	22
997	7580	15
998	7584	7
999	995	7560	30
996	7564	22
997	7567	15
998	7571	7
999	7575	0
