iter	Logloss
0	0.6848558595
1	0.6741968408
2	0.664073611
3	0.6540960633
4	0.6448940938
5	0.63604731
6	0.6277837233
7	0.6190262166
8	0.6097691151
9	0.6011511659
10	0.5920161756
11	0.5845827317
12	0.576124523
13	0.5683112331
14	0.5601211846
15	0.5516661807
16	0.5449328738
17	0.5381299382
18	0.5316886176
19	0.5254420987
20	0.5183712977
21	0.5121216502
22	0.5059067594
23	0.4992170447
24	0.4926003031
25	0.4854477362
26	0.4792360441
27	0.4726530681
28	0.466035808
29	0.4604282749
30	0.4558123092
31	0.4495707813
32	0.4444683982
33	0.4391268333
34	0.4341285423
35	0.4287024184
36	0.4230373632
37	0.4170660459
38	0.4110312792
39	0.4060423306
40	0.4008281139
41	0.3965083989
42	0.3915546964
43	0.3863122217
44	0.3823917787
45	0.377894388
46	0.3730666155
47	0.3696615534
48	0.3664804385
49	0.3624797277
50	0.3574730819
51	0.3530973098
52	0.3487507548
53	0.3444940668
54	0.3407925701
55	0.3362804599
56	0.3320710821
57	0.3277376428
58	0.3241020525
59	0.3200383038
60	0.3166268857
61	0.3126126549
62	0.3090219165
63	0.305553552
64	0.3021197316
65	0.2983017502
66	0.2949660528
67	0.2920777475
68	0.2887323811
69	0.2855746524
70	0.2825864584
71	0.2799687719
72	0.2768231362
73	0.27350298
74	0.2710662015
75	0.2688511276
76	0.2663008928
77	0.2638117073
78	0.2612322194
79	0.2584967688
80	0.2558662669
81	0.253637671
82	0.250955304
83	0.2487384161
84	0.2464302425
85	0.2448418107
86	0.2427097928
87	0.2403357723
88	0.2379737394
89	0.2360152862
90	0.2336873757
91	0.2315754271
92	0.2289047038
93	0.2272813742
94	0.2251611589
95	0.2233866289
96	0.2215107526
97	0.219942787
98	0.2181922704
99	0.2159187426
100	0.2142295665
101	0.21231392
102	0.2105118278
103	0.209060165
104	0.2071683634
105	0.205275426
106	0.2033620229
107	0.2014190591
108	0.199724864
109	0.1978800966
110	0.1966352434
111	0.1948793219
112	0.1929630359
113	0.1914684648
114	0.1902634479
115	0.188646057
116	0.1872343056
117	0.1858271594
118	0.1839852467
119	0.1822832082
120	0.1809711638
121	0.1795034752
122	0.1779747983
123	0.1764248701
124	0.1753172421
125	0.174038535
126	0.1726824543
127	0.1713968253
128	0.1702674563
129	0.1691988243
130	0.1678740123
131	0.1668450447
132	0.1656074171
133	0.1643261617
134	0.16351286
135	0.1624091328
136	0.1613829487
137	0.1601550166
138	0.1588981977
139	0.1578954825
140	0.1568471808
141	0.155952876
142	0.1548636406
143	0.1537889061
144	0.1525567639
145	0.1514754884
146	0.1503416687
147	0.1491400303
148	0.1480465667
149	0.1468190042
150	0.1461632018
151	0.14522961
152	0.1442622909
153	0.1432473012
154	0.1421979258
155	0.1411429384
156	0.1402683237
157	0.1394813721
158	0.1386051977
159	0.13776134
160	0.1366648227
161	0.1356934403
162	0.1347368814
163	0.1338506705
164	0.1332248072
165	0.1323326251
166	0.1316541943
167	0.130656298
168	0.1298897877
169	0.1292410828
170	0.1284336108
171	0.1276604332
172	0.1270070259
173	0.1260942708
174	0.1251034066
175	0.1242633569
176	0.1232619056
177	0.1225126062
178	0.1219225626
179	0.1211319186
180	0.1206367235
181	0.1198744373
182	0.1189831215
183	0.1184362792
184	0.117633206
185	0.1169702602
186	0.1162404075
187	0.115661727
188	0.1148829043
189	0.1140399687
190	0.1134412275
191	0.1127447517
192	0.1122085753
193	0.1116886596
194	0.1111769621
195	0.1105030022
196	0.1097879476
197	0.1092355583
198	0.1086485559
199	0.1081270234
200	0.1076295604
201	0.106980968
202	0.1064072395
203	0.1059481361
204	0.1053343678
205	0.104682777
206	0.1041170564
207	0.10367581
208	0.1032598384
209	0.1028655581
210	0.1022019831
211	0.1016040573
212	0.1009376582
213	0.1003376805
214	0.09987139613
215	0.09930696372
216	0.09876854454
217	0.09837689998
218	0.09782284073
219	0.09728263435
220	0.09694460172
221	0.09650966234
222	0.09599352648
223	0.09565082255
224	0.09525815137
225	0.09463049857
226	0.09423539279
227	0.09375954679
228	0.0932204888
229	0.09278500499
230	0.09245382057
231	0.09206323791
232	0.09147096143
233	0.09109845437
234	0.09059587115
235	0.09021259597
236	0.08972879066
237	0.08940744431
238	0.0890810784
239	0.08865680239
240	0.08835814651
241	0.08807324429
242	0.0876755187
243	0.08730884852
244	0.0868644734
245	0.08646986064
246	0.08612923687
247	0.08583375134
248	0.08544056057
249	0.08498318698
250	0.08457425688
251	0.0841231093
252	0.08382118114
253	0.08330130629
254	0.08283135381
255	0.08247805936
256	0.0821495842
257	0.08180744917
258	0.08158160156
259	0.08123621982
260	0.08087181018
261	0.08048176281
262	0.08005798388
263	0.07976882152
264	0.07943124606
265	0.07907607287
266	0.07874608978
267	0.07843261368
268	0.07809807078
269	0.07785545357
270	0.07739948454
271	0.07710403869
272	0.07680950963
273	0.07649672731
274	0.0762505259
275	0.07581068711
276	0.07558919218
277	0.07526195016
278	0.07492783248
279	0.07470557493
280	0.07441845789
281	0.07422955706
282	0.0739442345
283	0.07364624785
284	0.07335895541
285	0.07298592072
286	0.07277038778
287	0.07239699564
288	0.07211499251
289	0.07183384296
290	0.07161428718
291	0.0712231845
292	0.07097079877
293	0.07077980796
294	0.07047684154
295	0.07026297332
296	0.06991064663
297	0.06965399238
298	0.06931675018
299	0.06908210608
300	0.06881901196
301	0.06850338517
302	0.06822893924
303	0.06790477675
304	0.06769050573
